Title,Rating,Year,Genre,Duration,Story,Certificate,Votes
Sye Raa Narasimha Reddy,7.6,2019,"Action, Adventure, Drama",167 min,"A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",Not Rated,"5,222"
Evaru,8.3,2019,"Crime, Drama, Thriller",118 min,Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.,Not Rated,"2,083"
Agent Sai Srinivasa Athreya,8.5,2019,"Action, Comedy, Crime",148 min,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,UA,"3,501"
Rakshasudu,8.4,2019,"Action, Crime, Thriller",122 min,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen girls and murders them brutally.,UA,692
Khaidi,8.6,2019,"Action, Thriller",145 min,"A drug bust, an injured cop and a convicted criminal who wants to meet his daughter for first time in life, what happens when they all cross their path is the story of this emotional action flick.",UA,"5,257"
Chitralahari,7.1,2019,Drama,131 min,"Down on luck and depressed by constant failures in personal and professional life, Vijay is desperately in search of that single stroke of fortune that could turn his life around. But what if the power to rewrite his destiny lies within?",UA,"1,230"
Jersey,8.6,2019,"Drama, Sport",157 min,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,UA,"4,428"
Maharshi,7.3,2019,"Action, Drama",176 min,"Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers.",Not Rated,"4,571"
Mallesham,8.5,2019,Biography,131 min,"The life of Padma Shri winner Chintakindi Mallesham, who invented the the Asu machine that processes yarn for sarees mechanically, is being recreated in this biopic.",U,512
George Reddy,7.3,2019,Action,153 min,"George Reddy is a biopic based on the life of a student leader, boxer and Gold medalist, who influenced the politics of Andhra Pradesh state in Osmania University between 1967 and 1972. He ...                See full summary »",UA,367
Majili,7.2,2019,"Drama, Romance",154 min,A former cricket player nursing his wounds of a failed relationship takes up the task of training his ex-lover's daughter and in the process discovers his feelings towards his wife and her unrequited love for him.,U,"1,949"
Brochevarevarura,8,2019,Comedy,138 min,"This is the story of 'R3 batch' consisting of Rocky, Rambo and Rahul, three friends who keep failing every year and are stuck with studying inter.",UA,"1,410"
Raja Vaaru Rani Gaaru,8.5,2019,Romance,133 min,"Raja Vaaru Rani Gaaru is the story of Raju who falls in love with Rani but is unable to express his emotions. Set in a beautiful village, watch as Raju and two of his friends deal with the toils and troubles of romance.",U,128
Prati Roju Pandaage,6.4,2019,"Drama, Family",146 min,"With only a few weeks left to live, an aging grandfather is visited by his grandson who wishes to fulfill his desires.",UA,271
Bigil,7.1,2019,"Action, Drama, Sport",179 min,A former football player struggles to fulfill the dream of his friend and seek revenge for the death of his father.,U,"8,246"
Mudra,8,2019,"Action, Thriller",108 min,An investigative journalist is arrested for cheating banks with fake certificates. He discovers a crime syndicate behind the scam and decides to investigate it himself.,UA,217
Mathu Vadalara,8.5,2019,"Comedy, Crime, Thriller",130 min,The movie shows the events that occur in the life of a character who suffers from the rare disorder of hypersomnia and explains the health effects that are caused by the disorder.,UA,317
Kolaigaran,7.2,2019,"Action, Crime, Drama",109 min,"A man on a murder spree meets his match in a brilliant police officer, and a cat-and-mouse game ensues.",UA,909
F2: Fun and Frustration,6.3,2019,Comedy,148 min,"After Venky, Varun also gets married thinking he can keep the wife in control but both of them get frustrated with the marital life which generates fun.",UA,"1,703"
Gang Leader,7.6,2019,"Action, Comedy",155 min,"Nani plays the gang leader of five women belonging to different age groups, helping them to plot revenge.",UA,"1,550"
Sarvam Thaala Mayam,7.6,2019,"Drama, Music",131 min,"A mridangam maker's son, who aspires to learn the instrument from a maestro and become a mridangam player, has to cross social and personal barriers to reach his goal.",UA,932
Venky Mama,6.4,2019,"Action, Comedy, Drama",149 min,A story of nephew and a son which revolves around their emotions and village drama and army based story.,U,372
Rajdooth,6.9,2019,Drama,130 min,"A 25-year-old rouge's quest for an old Rajdooth bike. He, along with his friend backtrack the lost bike from Pochampally to Khammam to various other places in Andhra Pradesh and in the ...                See full summary »",UA,48
Meeku Matrame Chepta,6.1,2019,Comedy,120 min,"Rakesh, in an effort to woo his fiance, has promised her that he is a teetotaler. But when a compromising video of his leaks just two days before his wedding, all hell breaks loose.",UA,213
Falaknuma Das,6.3,2019,"Action, Thriller",145 min,"Set in the backdrop of the colonies of falaknuma where a group of youngsters fall into unexpected consequences which lead them to a driving pathway of violence, brutality and ruthlessness.",A,437
Gaddalakonda Ganesh,6.9,2019,"Action, Thriller",130 min,"An aspiring filmmaker who wants to direct a realistic story, stumbles upon a menacing villain and to learn the nitty-gritties of the villain's character, he puts his and his friend's life on the line.",UA,578
Ninu Veedani Needanu Nene,5.9,2019,Comedy,123 min,Ninu Veedani Needanu Nene is about a young man who gets mired in a dire situation and comes out successfully.,UA,262
